R_GM,R_ST,R_BF,L_GM,L_ST,L_BF
1.75E-05,5.23E-05,2.07E-05,4.10E-06,-3.14E-05,3.34E-05
1.82E-05,5.05E-05,3.00E-05,9.24E-06,-3.04E-05,3.42E-05
1.83E-05,3.94E-05,2.43E-05,1.20E-05,-2.87E-05,3.23E-05
1.78E-05,2.09E-05,3.10E-06,8.58E-06,-2.39E-05,2.90E-05
1.70E-05,6.00E-06,-2.38E-05,3.60E-06,-1.98E-05,2.80E-05
1.52E-05,1.04E-06,-4.35E-05,2.17E-06,-1.91E-05,2.84E-05
1.23E-05,-6.59E-07,-5.28E-05,5.03E-06,-1.96E-05,2.94E-05
1.04E-05,-5.08E-06,-5.78E-05,9.56E-06,-1.77E-05,3.22E-05
1.14E-05,-1.09E-05,-6.19E-05,1.11E-05,-1.39E-05,3.43E-05
1.29E-05,-1.37E-05,-6.29E-05,9.88E-06,-1.06E-05,3.15E-05
1.25E-05,-1.20E-05,-5.98E-05,1.02E-05,-8.84E-06,2.55E-05
1.18E-05,-9.38E-06,-5.61E-05,1.21E-05,-7.86E-06,2.10E-05
1.31E-05,-6.97E-06,-5.36E-05,1.28E-05,-5.99E-06,1.75E-05
1.45E-05,-2.75E-06,-5.08E-05,1.29E-05,-4.43E-06,1.41E-05
1.32E-05,3.40E-07,-4.73E-05,1.37E-05,-6.22E-06,1.24E-05
1.05E-05,-2.57E-06,-4.69E-05,1.37E-05,-9.50E-06,1.23E-05
9.04E-06,-9.46E-06,-5.22E-05,1.13E-05,-8.41E-06,1.28E-05
8.28E-06,-1.60E-05,-6.05E-05,7.60E-06,-1.24E-06,1.40E-05
7.98E-06,-2.09E-05,-6.70E-05,4.52E-06,7.74E-06,1.59E-05
9.26E-06,-2.58E-05,-7.05E-05,3.11E-06,1.41E-05,1.72E-05
1.12E-05,-3.20E-05,-7.19E-05,2.52E-06,1.54E-05,1.81E-05
1.31E-05,-3.73E-05,-7.16E-05,2.22E-06,1.22E-05,2.21E-05
1.44E-05,-3.41E-05,-7.02E-05,2.62E-06,9.66E-06,3.08E-05
1.45E-05,-2.18E-05,-6.75E-05,2.57E-06,8.51E-06,3.99E-05
1.50E-05,-1.45E-05,-6.34E-05,2.16E-06,6.81E-06,4.44E-05
1.66E-05,-1.77E-05,-6.17E-05,3.93E-06,4.89E-06,4.49E-05
