X3,Y3,Z3
-2036.65918,670.9557495,-770.4752808
-2034.850708,670.6642456,-770.3668213
-2032.992554,670.3550415,-770.2374268
-2031.084961,670.020874,-770.0809937
-2029.124146,669.6533813,-769.8956909
-2027.104736,669.2470703,-769.6826782
-2025.02124,668.800293,-769.4437256
-2022.869995,668.3145142,-769.1799927
-2020.646973,667.7926025,-768.8919678
-2018.349609,667.237915,-768.5797119
-2015.974609,666.6544189,-768.2434082
-2013.521362,666.0469971,-767.8832397
-2010.988892,665.421875,-767.4985962
-2008.378906,664.7858276,-767.0878296
-2005.693115,664.1459961,-766.6486206
-2002.935303,663.5097046,-766.1783447
-2000.109619,662.885498,-765.6744995
-1997.220337,662.2831421,-765.1352539
-1994.272095,661.7125854,-764.5594482
-1991.268066,661.1821289,-763.9465332
-1988.208496,660.6955566,-763.2962036
-1985.092285,660.25177,-762.6085815
-1981.917847,659.8453369,-761.8845215
-1978.685059,659.4702759,-761.1260376
-1975.39624,659.1227417,-760.3364868
-1972.055786,658.8007202,-759.5198364
-1968.66687,658.5027466,-758.6813354
-1965.230225,658.2262573,-757.8273926
-1961.744629,657.9677734,-756.9656982
-1958.20813,657.7249756,-756.1044312
-1954.62085,657.4995117,-755.2514038
-1950.986206,657.2994995,-754.4134521
-1947.309448,657.1380005,-753.595459
-1943.59729,657.0315552,-752.7997437
-1939.857788,656.9977417,-752.0272827
-1936.099487,657.055542,-751.2776489
-1932.332642,657.2255249,-750.5510254
-1928.566528,657.5292969,-749.8509521
-1924.80542,657.9883423,-749.1876831
-1921.049683,658.6226807,-748.576355
-1917.295654,659.449585,-748.0330811
-1913.539429,660.4799194,-747.5717163
-1909.778931,661.71698,-747.2017212
-1906.016235,663.1584473,-746.9258423
-1902.25708,664.8012695,-746.7393188
-1898.508057,666.6444702,-746.6293335
-1894.773071,668.6894531,-746.5789795
-1891.051392,670.9380493,-746.5698242
-1887.341431,673.3917236,-746.5828857
-1883.64209,676.0505981,-746.6000366
-1879.953369,678.9127197,-746.6077881
-1876.275879,681.9769897,-746.5979614
-1872.612915,685.2456055,-746.565918
-1868.969604,688.723877,-746.5101318
-1865.352661,692.4174194,-746.4321899
-1861.770996,696.3291626,-746.3358765
-1858.236206,700.4581909,-746.2244263
-1854.76355,704.8005981,-746.0992432
-1851.36438,709.3504028,-745.9637451
-1848.038452,714.0994873,-745.8280029
-1844.773682,719.0363159,-745.7072754
-1841.555542,724.1453857,-745.6141968
-1838.373413,729.4075928,-745.553894
-1835.223633,734.8002319,-745.5239868
-1832.108154,740.2991943,-745.5167236
-1829.032715,745.8815308,-745.5221558
-1825.997803,751.5274658,-745.5345459
-1822.995239,757.2199707,-745.555603
-1820.011108,762.9436646,-745.5913086
-1817.032227,768.6838989,-745.6478882
-1814.050293,774.4276123,-745.7293701
-1811.063843,780.1647949,-745.8347168
-1808.079346,785.8901367,-745.9552612
-1805.103638,791.6047363,-746.0789795
-1802.12915,797.3163452,-746.2001953
-1799.13501,803.0362549,-746.3206787
-1796.103516,808.7738647,-746.442627
-1793.033936,814.5326538,-746.5610962
-1789.943604,820.3099365,-746.663147
-1786.855347,826.0992432,-746.7346191
-1783.781616,831.8955078,-746.7680664
-1780.723877,837.6962891,-746.7631836
-1777.68689,843.5007324,-746.7199097
-1774.67749,849.3096313,-746.6381836
-1771.69043,855.1270752,-746.5252686
-1768.705811,860.9587402,-746.3959961
-1765.703979,866.8066406,-746.2653809
-1762.674683,872.664917,-746.1456299
-1759.617188,878.5200195,-746.0479126
-1756.53479,884.3568115,-745.9816284
-1753.432251,890.1641235,-745.951416
-1750.315552,895.9376221,-745.9552002
-1747.191895,901.6779175,-745.9852295
