LBFT X,LBFT Y,LBFT Z,LLAN X,LLAN Y,LLAN Z,LMAN X,LMAN Y,LMAN Z,RBFT X,RBFT Y,RBFT Z,RLAN X,RLAN Y,RLAN Z,RMAN X,RMAN Y,RMAN Z
-980.5732422,84.4584198,-751.5438232,-923.6000977,119.8373947,-796.473877,-896.0223999,112.9474792,-721.1439819,-968.6593018,88.3140564,-476.0353088,-921.2444458,124.9948959,-433.7110596,-882.06073,117.5067825,-503.6216736
-980.5715332,84.44942474,-751.5389404,-923.6147461,119.809082,-796.3999634,-895.993042,112.9286346,-721.1381226,-968.6430054,88.30409241,-476.0186462,-921.2271729,124.9814453,-433.7073669,-882.0476074,117.5345078,-503.6231689
-980.5559082,84.44528198,-751.529541,-923.4838867,119.6672363,-796.460083,-896.0005493,112.927887,-721.1377563,-968.6601563,88.30974579,-476.0065918,-921.2293701,124.97229,-433.7193604,-882.0378418,117.5106812,-503.6116028
-980.5627441,84.43578339,-751.5294189,-923.6533203,119.8218689,-796.3933105,-895.9851685,112.9366074,-721.1331787,-968.6573486,88.3037796,-476.0195007,-921.2527466,124.9840088,-433.7090759,-882.0689697,117.517067,-503.6252441
-980.5698853,84.44301605,-751.5273438,-923.675415,119.8238678,-796.3670654,-895.9677124,112.9360352,-721.1264648,-968.6661987,88.30465698,-476.0194702,-921.2199097,124.9960327,-433.721405,-882.0927734,117.51194,-503.6207275
-980.5848389,84.4309845,-751.52771,-923.654541,119.8113022,-796.4103394,-895.9924927,112.9362946,-721.1268921,-968.6726074,88.29548645,-476.0272522,-921.2401733,124.9922714,-433.73172,-882.1049194,117.5161667,-503.6305542
-980.5782471,84.43963623,-751.526123,-923.6865234,119.8308105,-796.350708,-895.9893188,112.9232025,-721.116272,-968.6625977,88.29234314,-476.0334167,-921.239502,124.9636841,-433.7487183,-882.0871582,117.509964,-503.6225586
-980.5812988,84.44298553,-751.5108643,-923.6091309,119.8238678,-796.3751831,-895.9732666,112.9344177,-721.1099243,-968.6695557,88.27014923,-476.0124207,-921.2276611,124.9595032,-433.7437134,-882.0945435,117.5251541,-503.6303101
-980.5783691,84.44464874,-751.5223389,-923.6132202,119.7996979,-796.3388672,-896.0093384,112.9411469,-721.1176758,-968.6767578,88.31478882,-476.0134888,-921.2200928,124.9780807,-433.7449036,-882.0719604,117.5023346,-503.6216125
-980.5695801,84.44229126,-751.5358887,-923.5975342,119.8271255,-796.3713379,-895.9903564,112.9236832,-721.1187134,-968.6676636,88.30463409,-476.0195923,-921.2310791,124.9655075,-433.7563477,-882.0748291,117.5084991,-503.6275024
-980.5657959,84.42357635,-751.5372314,-923.633728,119.7932587,-796.3379517,-895.9995728,112.935524,-721.1074829,-968.6674194,88.29434967,-476.0343323,-921.2531738,124.9677048,-433.7604675,-882.0915527,117.5139999,-503.6321716
-980.5718994,84.42555237,-751.5255737,-923.6717529,119.8407288,-796.4105225,-896.0039673,112.9200592,-721.102417,-968.6831055,88.29602051,-476.0186157,-921.2198486,124.9597168,-433.7573547,-882.1126709,117.5138855,-503.6468201
-980.5932007,84.43397522,-751.5136719,-923.7471313,119.8649826,-796.3997803,-896.0064697,112.9130783,-721.1003418,-968.6879883,88.30775452,-476.0102844,-921.2125244,124.9564362,-433.7800903,-882.1074219,117.5027313,-503.6492615
